"","A1","A2","A3","A4","A5","T1","T2","T3","T4","T5","EE1","EE2","EE3","EE4","EE5","MS1","MS2","MS3"
"student 1",2,3,3,3,3,3,2,0,3,-3,2,3,3,1,3,3,3,3
"student 2",-1,2,1,0,1,1,0,1,1,1,2,0,0,1,1,2,2,2
"student 3",-3,3,0,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,3,-3,3,-3,3
"student 4",-2,1,2,-3,-3,1,-2,-3,0,-3,0,1,1,1,1,2,2,1
"student 5",3,2,2,3,1,1,1,0,1,-1,-2,1,0,1,1,1,1,3
"student 6",-1,2,1,0,0,1,1,0,2,1,1,2,2,2,0,2,1,1
"student 7",0,-1,-1,-2,-1,1,0,1,2,0,1,0,0,0,0,2,2,2
"student 8",2,2,3,2,1,2,2,1,3,2,2,1,2,2,2,3,3,3
"student 9",3,3,2,0,1,2,0,-1,3,0,2,2,1,2,2,1,1,3
"student 10",-3,2,0,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-2,0,-2
"student 11",0,3,2,0,0,1,-3,-1,2,-3,3,1,0,2,3,2,3,3
"student 12",-1,1,2,2,2,1,-1,-3,1,-3,-2,1,-1,-2,1,2,2,2
"student 13",2,2,2,0,-2,1,-3,-3,2,-3,1,1,-1,0,1,2,2,2
"student 14",3,3,3,3,1,2,0,2,3,1,3,3,2,3,2,3,3,3
"student 15",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,0,0,0,0,2,2,2
"student 16",-2,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,0,2,2,2
"student 17",-1,1,-2,-2,-2,-1,-1,-1,1,-2,1,-2,-2,-1,0,2,2,2
"student 18",-2,2,1,-1,-2,1,1,1,3,1,1,0,1,1,2,1,2,1
"student 19",1,2,1,0,-1,-1,-1,-2,-1,-3,2,1,1,2,2,2,3,3
"student 20",1,3,2,2,2,2,1,0,3,0,2,3,2,2,2,3,3,3
"student 21",2,3,2,-2,-2,0,-2,-1,1,-1,2,2,2,1,0,2,2,2
"student 22",-2,2,1,-2,-2,1,-2,-2,2,-2,2,2,0,2,1,-2,1,2
"student 23",-1,2,1,0,0,1,-1,-2,2,-3,1,1,0,1,1,1,2,2
"student 24",1,2,1,-2,-3,-2,-3,-2,-2,0,0,1,0,1,0,2,2,2
"student 25",3,3,2,0,1,0,-1,-1,1,0,1,1,1,1,2,2,2,2
"student 26",1,2,2,1,0,1,-1,0,1,0,1,2,2,2,2,1,1,2
"student 27",2,0,2,1,1,1,-1,0,2,0,2,2,0,0,0,2,1,1
"student 28",1,2,1,-1,-3,0,-3,-3,1,-2,1,1,1,1,0,2,3,3
"student 29",-3,1,-2,-1,-1,-2,-2,-2,-1,-3,-3,-3,-3,-3,0,-3,-2,-1
"student 30",-2,0,-2,-3,-3,-2,-1,-2,-2,-2,2,0,0,1,0,2,2,2
"student 31",0,3,2,1,0,1,-3,-3,1,-3,-3,0,0,2,3,0,0,1
"student 32",1,3,3,3,2,2,1,2,3,1,2,0,1,2,2,0,1,2
"student 33",3,2,3,2,3,3,1,2,3,0,1,2,2,2,3,2,3,3
"student 34",0,3,3,1,0,1,1,1,3,0,1,1,1,1,0,2,3,3
"student 35",0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1
"student 36",1,3,3,2,2,2,0,-2,2,-3,1,0,2,3,2,3,2,2
